id,created_at,text
866008957831315456,2017-05-20 19:13:19,"RT @CVieiraMartinez: ""We all need to prioritize and fight for infrastructure"" @SenBookerOffice @CoryBooker @LeadershipNwk #LNSummit2017 #in…"
865697304153645058,2017-05-19 22:34:55,@PaulaGreen219 Awesome!
865658094214291456,2017-05-19 19:59:07,@PaulaGreen219 It is right on Broad Street in Newark. Across from Military Park. Just north of the prudential building.
865657726663307264,2017-05-19 19:57:39,@DevNoDude You are a long way away &amp; dipping in the Cool-aide &amp; don't know the flavor (smile). They droped prices a… https://t.co/hsSoifXWjm
865651794193522688,2017-05-19 19:34:05,Im at the Whole Foods in Newark. Please come shop and support our local store creating dozens of jobs for local res… https://t.co/WFxA9HbJb9
865651577662578690,2017-05-19 19:33:13,@sro1962 At the Whole Foods in Newark. Please come shop and support our local store creating dozens of jobs for loc… https://t.co/zeHaqnahcp
865638217130704896,2017-05-19 18:40:08,@JuliaBCAdm Thank you!
865638123140665344,2017-05-19 18:39:45,Thank you for your great leadership for our nation (and 32BJ). https://t.co/RDyovHphcl
865637808815316993,2017-05-19 18:38:31,RT @Pastor_RLS: Honored to stand with Sen @CoryBooker for higher wages for airport workers at EWR https://t.co/qULbL8XoK2
865637162061975553,2017-05-19 18:35:56,"Lol, I've never had that question before. Any chance I could just get you to move to Jersey. I would greet you at t… https://t.co/n8TR5A1oef"
865636805097308161,2017-05-19 18:34:31,I will do all that I can to make it happen. Can you reach out to @ghelmy to try to make it work. Or call Unjin at 2… https://t.co/FGxwQnVPEV
865636217592758272,2017-05-19 18:32:11,At Newark airport fighting for higher wages. https://t.co/3XTafjtRCW
865596379036401664,2017-05-19 15:53:53,Powerful reminder from powerful artist @aiww that #freespeech &amp; #freepress are crucial for social justice: https://t.co/je3pvy6Ock
865580711197253633,2017-05-19 14:51:37,"Reminder: America is a nation built on freedom of speech, freedom of protest. Using violence to suppress these righ… https://t.co/QMkrPKr2zX"
865544605143408642,2017-05-19 12:28:09,Please give that Pug a Hug from me. https://t.co/hF0D4wg17u
865544063084146688,2017-05-19 12:26:00,"RT @CAPAction: @CoryBooker​ on CAP's new podcast, #ThinkingCAP. Download the first episode now: https://t.co/f1RuGLLcBO https://t.co/bJBXPG…"
865543327113854978,2017-05-19 12:23:04,RT @AdamCastroEdu: It's Commencement Day! Congratulations to the largest graduating class in @bloomfieldedu history! #BloomfieldGrad17 http…
865543283094634496,2017-05-19 12:22:54,Congratulations Lori on your honorary degree. Psyched to be with you this morning here at Bloomfield College. https://t.co/fWUTg3ZATV
865462836062937090,2017-05-19 07:03:14,@iamdougconnors Reach out to @ghelmy on my team. He may have some ideas. He is my NJ state director.
865461071770918914,2017-05-19 06:56:13,This is such a great pod cast between @ezraklein and one of my heroes Bryan Stevenson. I hope you will listen. https://t.co/LAUTLJchqb
865455205940215808,2017-05-19 06:32:55,"RT @TheStressNinja: When they cast you into darkness, love them for helping you discover your inextinguishable light
@CoryBooker #lifecoach…"
865414754554138624,2017-05-19 03:52:10,RT @shawnheinrichs: Thank u @CoryBooker &amp; @SenCapito for helping advance the Shark Fin Sales Elimination Act! #FinBanNow #SaveSharks https:…
865414570231250944,2017-05-19 03:51:26,"RT @civilrightsorg: Here's some justice reform we actually need. Thank you, Sen. @CoryBooker, for your #BanTheBox efforts! https://t.co/z0R…"
865412744337543170,2017-05-19 03:44:11,"@keriannecdotes @SenatorMenendez Thanks for coming by today, thanks for your advocacy and leadership."
865412216694087680,2017-05-19 03:42:05,RT @igorvolsky: @CoryBooker 1st episode of #ThinkingCAP: @MicheleJawando &amp; I talk to @CoryBooker &amp; @benwikler about impeachment &amp; Russia pr…
865409073209987073,2017-05-19 03:29:36,RT @CTDems: We’re just weeks away from the Progress Dinner with @CoryBooker. Get tix today → https://t.co/c9S0d8aHP3
865291632635256835,2017-05-18 19:42:56,So good to hear this. We continue to send Senator Hirono love healing energy. https://t.co/YHcKCCF6V6
865239870284943360,2017-05-18 16:17:15,I never will. #OneJersey https://t.co/cMOh9NCtZD
865239613497118720,2017-05-18 16:16:13,RT @MicheleJawando: Today is the day- launch of our new podcast #ThinkingCap with me &amp; @igorvolsky ! Many thanks to our 1st guest @CoryBook…
