source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,8.62E+17,Dems have been complaining for months &amp; months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,Wed May 10 19:23:52 +0000 2017,25733,,96473,FALSE
Twitter for iPhone,8.62E+17,The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.,Wed May 10 12:57:16 +0000 2017,15827,,58559,FALSE
Twitter for iPhone,8.62E+17,caught he cried like a baby and begged for forgiveness...and now he is judge &amp; jury. He should be the one who is investigated for his acts.,Wed May 10 12:39:59 +0000 2017,13803,,62090,FALSE
Twitter for iPhone,8.62E+17,years as a pol in Connecticut Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When....,Wed May 10 12:30:51 +0000 2017,14606,,57096,FALSE
Twitter for iPhone,8.62E+17,"Watching Senator Richard Blumenthal speak of Comey is a joke. ""Richie"" devised one of the greatest military frauds in U.S. history. For....",Wed May 10 12:24:32 +0000 2017,15070,,57913,FALSE
Twitter for iPhone,8.62E+17,RT @DRUDGE_REPORT: 10 SCANDALS ON DIRECTOR'S WATCH... https://t.co/dnGY08wTBP,Wed May 10 11:28:38 +0000 2017,8603,,0,TRUE
Twitter for iPhone,8.62E+17,Comey lost the confidence of almost everyone in Washington Republican and Democrat alike. When things calm down they will be thanking me!,Wed May 10 11:27:13 +0000 2017,17947,,74949,FALSE
Twitter for iPhone,8.62E+17,RT @DRUDGE_REPORT: MEXICO 2ND DEADLIEST COUNTRY; TOPS AFGHAN IRAQ... https://t.co/i4FtSpLiHV,Wed May 10 11:21:02 +0000 2017,7324,,0,TRUE
Twitter for iPhone,8.62E+17,James Comey will be replaced by someone who will do a far better job bringing back the spirit and prestige of the FBI.,Wed May 10 11:19:04 +0000 2017,18427,,80330,FALSE
Twitter for iPhone,8.62E+17,The Democrats have said some of the worst things about James Comey including the fact that he should be fired but now they play so sad!,Wed May 10 11:10:48 +0000 2017,19669,,77287,FALSE
Twitter for iPhone,8.62E+17,"Cryin' Chuck Schumer stated recently ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant.  #draintheswamp",Wed May 10 02:42:52 +0000 2017,29960,,97335,FALSE
Twitter for iPhone,8.62E+17,'Manufacturing openings hires rise to highest levels of the recovery'https://t.co/txFZDYYIOe,Tue May 09 21:38:51 +0000 2017,9906,,44348,FALSE
Twitter for iPhone,8.62E+17,It was an honor to welcome the Teachers of the Year to the WH last month. Today we honor and thank all teachers!… https://t.co/sAUJfIZCwR,Tue May 09 17:19:16 +0000 2017,9998,,53083,FALSE
Twitter for iPhone,8.62E+17,Biggest story today between Clapper &amp; Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,Mon May 08 22:50:45 +0000 2017,14129,,54708,FALSE
Twitter for iPhone,8.62E+17,The Russia-Trump collusion story is a total hoax when will this taxpayer funded charade end?,Mon May 08 22:46:00 +0000 2017,16413,,64905,FALSE
Twitter for iPhone,8.62E+17,Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,Mon May 08 22:43:39 +0000 2017,11286,,53476,FALSE
Twitter for iPhone,8.62E+17,"Director Clapper reiterated what everybody including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",Mon May 08 22:41:12 +0000 2017,17617,,67742,FALSE
Twitter for iPhone,8.62E+17,Honored to welcome Georgia Prime Minister Giorgi Kvirikashvili to the @WhiteHouse today with @VP Mike Pence.… https://t.co/ohXXgTNtWB,Mon May 08 17:42:32 +0000 2017,6830,,35851,FALSE
Twitter for iPhone,8.62E+17,Ask Sally Yates under oath if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.,Mon May 08 14:43:35 +0000 2017,16679,,60563,FALSE
Twitter for iPhone,8.62E+17,General Flynn was given the highest security clearance by the Obama Administration - but the Fake News seldom likes talking about that.,Mon May 08 11:57:42 +0000 2017,16501,,60072,FALSE
Twitter for iPhone,8.62E+17,Congratulations to @PGA_JohnDaly on his big win yesterday. John is a great guy who never gave up - and now a winner again!,Mon May 08 11:32:24 +0000 2017,10475,,51318,FALSE
Twitter for iPhone,8.62E+17,RT @IsraeliPM: PM Benjamin Netanyahu at  weekly Cabinet meeting:In two weeks Israel will host @POTUS Trump on his first trip as President…,Mon May 08 11:23:05 +0000 2017,5814,,0,TRUE
Twitter for iPhone,8.61E+17,Rexnord of Indiana made a deal during the Obama Administration to move to Mexico. Fired their employees. Tax product big that's sold in U.S.,Sun May 07 22:58:47 +0000 2017,10443,,44915,FALSE
Twitter for iPhone,8.61E+17,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,Sun May 07 19:22:17 +0000 2017,22832,,81253,FALSE
Twitter for iPhone,8.61E+17,Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,Sun May 07 12:49:39 +0000 2017,13013,,60493,FALSE
Twitter for iPhone,8.61E+17,RT @brunelldonald: I thought about jobs that went overseas failing schools open borders not my skin color when I voted @realDonaldTrump! I…,Sun May 07 11:37:35 +0000 2017,14422,,0,TRUE
Twitter for iPhone,8.61E+17,"RT @FoxNews: .@POTUS: ""I'm not against the media. I'm against the FAKE media."" #CashinIn https://t.co/F7mBIj7iVL",Sun May 07 11:17:59 +0000 2017,9899,,0,TRUE
Twitter for iPhone,8.61E+17,When will the Fake Media ask about the Dems dealings with Russia &amp; why the DNC wouldn't allow the FBI to check their server or investigate?,Sun May 07 11:15:26 +0000 2017,18454,,68243,FALSE
Twitter for iPhone,8.61E+17,The reason I am staying in Bedminster N. J. a beautiful community is that staying in NYC is much more expensive and disruptive. Meetings!,Sat May 06 22:39:42 +0000 2017,11097,,63859,FALSE
Twitter for iPhone,8.61E+17,Great jobs report today - It is all beginning to work!,Fri May 05 23:34:36 +0000 2017,12758,,70428,FALSE
Twitter for iPhone,8.61E+17,Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!,Fri May 05 23:29:45 +0000 2017,14537,,64632,FALSE
Twitter for iPhone,8.61E+17,Wowthe Fake News media did everything in its power to make the Republican Healthcare victory look as bad as possible.Far better than Ocare!,Fri May 05 23:22:22 +0000 2017,14023,,66903,FALSE
Twitter Ads,8.61E+17,#WeeklyAddress???? https://t.co/4qckKpbtCR,Fri May 05 19:43:37 +0000 2017,10014,,39267,FALSE
Twitter for iPhone,8.61E+17,JOBS JOBS JOBS! https://t.co/UR0eetSEnO,Fri May 05 19:32:08 +0000 2017,12921,,47376,FALSE
Twitter for iPhone,8.61E+17,Of course the Australians have better healthcare than we do --everybody does. ObamaCare is dead! But our healthcare will soon be great.,Fri May 05 19:13:54 +0000 2017,12949,,63769,FALSE
Twitter for iPhone,8.60E+17,Rather than causing a big disruption in N.Y.C. I will be working out of my home in Bedminster N.J. this weekend. Also saves country money!,Fri May 05 13:02:46 +0000 2017,11982,,67039,FALSE
Twitter for iPhone,8.60E+17,Big win in the House - very exciting! But when everything comes together with the inclusion of Phase 2 we will have truly great healthcare!,Fri May 05 12:52:36 +0000 2017,10203,,54808,FALSE
Twitter Ads,8.60E+17,An honor to welcome PM of Australia @TurnbullMalcolm to America &amp; join him in marking the 75th Anniversary of the… https://t.co/foMUec7EAE,Fri May 05 06:16:06 +0000 2017,7123,,38661,FALSE
